,SubDivName,medianPrSqFt_2000,medianHage_2000,medianHPrice_2000,medianPrSqFt_2005,medianHage_2005,medianHPrice_2005,medianPrSqFt_2010,medianHage_2010,medianHPrice_2010,medianPrSqFt_2015,medianHage_2015,medianHPrice_2015,medianPrSqFt_2020,medianHage_2020,medianHPrice_2020,subDivAge_2000,subDivAge_2005,subDivAge_2010,subDivAge_2015,subDivAge_2020
383,JAMES D JOHNSON,78.0,36.5,125821.0,82.0,41.5,128236.0,103.155,47.0,163548.0,93.0,51.5,153743.0,126.5,56.5,191368.0,38.0,43.0,48.0,53.0,58.0
384,JERRY HOGAN LAND,44.0,50.0,16200.0,44.0,55.0,16200.0,69.355,60.0,96819.0,56.0,65.0,78068.0,148.0,37.0,234687.0,50.0,55.0,60.0,65.0,70.0
385,JOE LOUIS PARK,65.5,18.0,50986.0,71.0,15.0,72268.0,87.0765,24.0,102251.0,83.0,29.0,92334.0,173.0,28.0,188115.5,58.0,63.0,68.0,73.0,78.0
386,KELLY HEIGHTS,79.0,41.0,96843.0,80.0,46.0,100256.0,87.90450000000001,51.0,114472.5,89.0,56.0,126001.0,100.0,61.0,138683.0,46.0,51.0,56.0,61.0,66.0
387,KELLY LAND,96.0,5.0,149307.5,96.0,10.0,149307.5,122.52799999999999,15.0,191667.0,131.0,20.0,203905.5,162.5,25.0,256334.5,5.0,10.0,15.0,20.0,25.0
388,KELLYS ADDITION TO WILMONT,74.5,55.0,124925.0,74.5,60.0,124925.0,186.295,3.0,605152.0,172.0,8.0,569063.0,211.0,13.0,704393.0,void,void,4.0,9.0,14.0
389,KENLY COURT,139.0,27.0,353470.0,129.0,32.0,353749.5,196.793,37.0,611266.0,202.0,42.0,681487.0,233.0,47.0,720922.0,29.0,34.0,39.0,44.0,49.0
390,KENT ROAD,81.0,51.0,161054.0,81.0,56.0,161054.0,146.765,61.0,198280.0,115.0,66.0,155860.0,183.0,71.0,247169.0,void,void,-0.0,5.0,10.0
391,KENT ROAD TOWNHOMES,85.0,52.0,125120.5,83.5,1.0,106238.0,103.36449999999999,6.0,131804.0,104.0,11.0,131079.5,145.5,16.0,186041.0,void,1.0,6.0,11.0,16.0
392,KENTWOOD,77.0,40.0,150696.5,77.0,45.0,150696.5,113.376,50.0,228176.0,114.0,55.0,228121.0,150.0,60.0,300188.0,53.0,58.0,63.0,68.0,73.0
393,KILGORE AVE,84.0,51.0,268655.0,67.0,56.0,214984.0,void,61.0,485258.0,214.0,1.0,584946.0,246.0,6.0,738082.0,void,void,void,1.0,6.0
394,KINGS MILL,84.0,17.0,176015.0,84.0,22.0,177788.5,127.811,27.0,273364.0,131.0,32.0,285171.0,163.5,37.0,357168.0,18.0,23.0,28.0,33.0,38.0
395,KINGSBORO,void,void,2000.0,91.0,4.0,108873.0,114.2815,9.0,138912.0,118.0,14.0,143215.0,179.0,19.0,218249.0,0.0,5.0,10.0,15.0,20.0
396,KINGSLAND,94.0,15.0,197082.5,void,20.0,206181.5,134.751,25.0,302415.5,130.0,30.0,296012.5,156.0,35.0,351915.5,6.0,11.0,16.0,21.0,26.0
397,KINGWOOD FOREST,65.0,30.0,80224.0,64.0,35.0,80611.0,78.28699999999999,40.0,98649.5,68.0,45.0,86249.0,115.0,50.0,146298.0,void,void,void,void,void
398,KIRKWOOD PARK,81.0,44.0,74960.0,void,void,94000.0,162.165,3.0,604751.0,158.0,5.0,558983.0,188.0,10.0,663533.0,void,void,4.0,9.0,14.0
